Symbol
APLAPOLLO.NS
AUBANK.NS
AADHARHFC.NS
AARTIIND.NS
ADANIENSOL.NS
ADANIENT.NS
ADANIGREEN.NS
ADANIPORTS.NS
ADANIPOWER.NS
ATGL.NS
AWL.NS
ABCAPITAL.NS
ABFRL.NS
ABREL.NS
ABSLAMC.NS
AEGISLOG.NS
AFCONS.NS
AFFLE.NS
AJANTPHARM.NS
AMBUJACEM.NS
ANANDRATHI.NS
ANANTRAJ.NS
ANGELONE.NS
APARINDS.NS
APOLLOHOSP.NS
APOLLOTYRE.NS
ASHOKLEY.NS
ASIANPAINT.NS
ATUL.NS
AUROPHARMA.NS
DMART.NS
AXISBANK.NS
BASF.NS
BEML.NS
BLS.NS
BSE.NS
BAJAJ-AUTO.NS
BAJFINANCE.NS
BAJAJFINSV.NS
BAJAJHLDNG.NS
BAJAJHFL.NS
BALKRISIND.NS
BALRAMCHIN.NS
BANDHANBNK.NS
BANKBARODA.NS
BANKINDIA.NS
MAHABANK.NS
BATAINDIA.NS
BAYERCROP.NS
BERGEPAINT.NS
BEL.NS
BHARATFORG.NS
BHEL.NS
BPCL.NS
BHARTIARTL.NS
BHARTIHEXA.NS
BIKAJI.NS
BIOCON.NS
BSOFT.NS
BLUEDART.NS
BLUESTARCO.NS
BBTC.NS
BOSCHLTD.NS
BRITANNIA.NS
CESC.NS
CGPOWER.NS
CRISIL.NS
CANFINHOME.NS
CANBK.NS
CAPLIPOINT.NS
CGCL.NS
CASTROLIND.NS
CEATLTD.NS
CENTRALBK.NS
CDSL.NS
CENTURYPLY.NS
CERA.NS
CHAMBLFERT.NS
CHENNPETRO.NS
CHOLAHLDNG.NS
CHOLAFIN.NS
CIPLA.NS
CUB.NS
COALINDIA.NS
COCHINSHIP.NS
COFORGE.NS
COLPAL.NS
CAMS.NS
CONCOR.NS
COROMANDEL.NS
CROMPTON.NS
CUMMINSIND.NS
CYIENT.NS
DCMSHRIRAM.NS
DLF.NS
DABUR.NS
DALBHARAT.NS
DEEPAKFERT.NS
DEEPAKNTR.NS
DRREDDY.NS
EIDPARRY.NS
EIHOTEL.NS
EICHERMOT.NS
ELECON.NS
ELGIEQUIP.NS
EMAMILTD.NS
ESCORTS.NS
EXIDEIND.NS
NYKAA.NS
FEDERALBNK.NS
FINCABLES.NS
FORTIS.NS
GAIL.NS
GILLETTE.NS
GLAXO.NS
GLENMARK.NS
MEDANTA.NS
GPIL.NS
GODFRYPHLP.NS
GODREJAGRO.NS
GODREJCP.NS
GODREJIND.NS
GODREJPROP.NS
GRANULES.NS
GRAPHITE.NS
GRASIM.NS
GRAVITA.NS
GESHIP.NS
GUJGASLTD.NS
GMDCLTD.NS
GNFC.NS
GPPL.NS
GSPL.NS
HBLENGINE.NS
HCLTECH.NS
HDFCAMC.NS
HDFCBANK.NS
HDFCLIFE.NS
HFCL.NS
HAVELLS.NS
HEROMOTOCO.NS
HSCL.NS
HINDALCO.NS
HAL.NS
HINDCOPPER.NS
HINDPETRO.NS
HINDUNILVR.NS
HINDZINC.NS
HUDCO.NS
HYUNDAI.NS
ICICIBANK.NS
ICICIGI.NS
ICICIPRULI.NS
IDBI.NS
IDFCFIRSTB.NS
IFCI.NS
IIFL.NS
IRCON.NS
ITC.NS
INDGN.NS
INDIACEM.NS
INDIAMART.NS
INDIANB.NS
IEX.NS
INDHOTEL.NS
IOC.NS
IOB.NS
